iter	Passed	Remaining
0	2	220
1	3	187
2	5	173
3	6	158
4	8	167
5	10	169
6	13	174
7	15	173
8	16	167
9	17	161
10	19	156
11	20	150
12	21	144
13	22	140
14	24	138
15	25	133
16	26	128
17	27	125
18	28	120
19	29	116
20	29	111
21	30	108
22	31	104
23	31	101
24	32	98
25	33	94
26	34	92
27	34	89
28	35	86
29	35	83
30	36	81
31	37	79
32	37	77
33	38	74
34	39	72
35	39	70
36	40	68
37	41	66
38	41	65
39	42	63
40	42	61
41	43	59
42	43	57
43	44	56
44	44	54
45	45	53
46	46	51
47	46	50
48	47	49
49	47	47
50	48	46
51	48	45
52	49	43
53	50	42
54	50	41
55	50	40
56	51	39
57	52	37
58	53	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	19
76	63	19
77	64	18
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
