iter	Passed	Remaining
0	169	169481
1	174	86856
2	176	58611
3	178	44408
4	186	37094
5	188	31170
6	189	26847
7	191	23688
8	192	21171
9	193	19122
10	194	17444
11	195	16065
12	195	14880
13	196	13859
14	198	13013
15	201	12363
16	202	11691
17	203	11079
18	203	10527
19	204	10027
20	205	9591
21	206	9186
22	207	8809
23	208	8467
24	209	8187
25	210	7898
26	211	7626
27	212	7374
28	213	7154
29	214	6945
30	215	6745
31	216	6557
32	217	6377
33	220	6262
34	221	6109
35	222	5960
36	223	5821
37	224	5683
38	225	5552
39	226	5428
40	227	5310
41	229	5237
42	231	5143
43	232	5048
44	233	4956
45	237	4922
46	240	4875
47	242	4800
48	243	4721
49	244	4642
50	245	4565
51	246	4499
52	248	4436
53	249	4375
54	254	4369
55	260	4390
56	261	4331
57	263	4275
58	264	4216
59	265	4156
60	266	4106
61	267	4053
62	268	3999
63	270	3952
64	271	3904
65	272	3855
66	273	3805
67	274	3759
68	276	3729
69	279	3708
70	281	3679
71	283	3649
72	288	3660
73	289	3618
74	290	3576
75	290	3537
76	291	3496
77	295	3492
78	298	3483
79	301	3468
80	303	3439
81	304	3406
82	305	3377
83	306	3344
84	307	3310
85	308	3277
86	309	3245
87	309	3212
88	310	3180
89	313	3172
90	315	3153
91	316	3123
92	317	3094
93	318	3065
94	318	3037
95	319	3008
96	320	2980
97	320	2952
98	321	2925
99	322	2898
100	322	2871
101	323	2846
102	324	2821
103	324	2796
104	325	2772
105	325	2748
106	326	2727
107	327	2706
108	329	2693
109	330	2671
110	330	2649
111	331	2627
112	331	2605
113	332	2584
114	333	2563
115	333	2542
116	334	2521
117	334	2501
118	335	2482
119	335	2463
120	336	2443
121	336	2424
122	337	2406
123	338	2388
124	338	2370
125	339	2352
126	339	2334
127	340	2317
128	340	2301
129	341	2287
130	343	2277
131	344	2262
132	344	2246
133	345	2231
134	345	2215
135	346	2200
136	346	2185
137	347	2170
138	348	2156
139	348	2142
140	349	2127
141	349	2112
142	350	2098
143	350	2085
144	351	2071
145	351	2058
146	352	2045
147	353	2032
148	353	2020
149	354	2007
